,domain,method,train_size,test_loss,seed
91,depth,simsiam,100000.0,0.029065316542983055,0.0
92,depth,sup,100000.0,0.029567383229732513,0.0
93,depth,sup,100000.0,0.0298953577876091,1.0
94,depth,swav,100000.0,0.027924662455916405,0.0
95,depth,swav_task,100000.0,0.026781518012285233,0.0
96,depth,scratch,1000000.0,0.03361659497022629,0.0
97,depth,swav_task,1000000.0,0.024994825944304463,0.0
98,imgnet_cls,blind-guess,-1.0,99.9,-1.0
99,imgnet_cls,gold,-1.0,23.988000000000003,-1.0
100,imgnet_cls,scratch_orig,12600.0,74.6,-1.0
101,imgnet_cls,swav_orig,12600.0,46.1,-1.0
102,imgnet_cls,barlow_twins,15000.0,50.946000000000005,0.0
103,imgnet_cls,color,15000.0,86.52,0.0
104,imgnet_cls,jigsaw,15000.0,79.068,0.0
105,imgnet_cls,moco,15000.0,76.538,0.0
106,imgnet_cls,pirl,15000.0,79.506,0.0
107,imgnet_cls,scratch,15000.0,93.314,0.0
108,imgnet_cls,simclr,15000.0,54.948,0.0
109,imgnet_cls,simsiam,15000.0,84.494,0.0
110,imgnet_cls,swav,15000.0,53.038000000000004,0.0
111,imgnet_cls,swav_task,15000.0,81.28,0.0
112,imgnet_cls,color,31250.0,76.82600000000001,0.0
113,imgnet_cls,jigsaw,31250.0,67.946,0.0
114,imgnet_cls,moco,31250.0,64.36399999999999,0.0
115,imgnet_cls,moco_task,31250.0,83.436,0.0
116,imgnet_cls,scratch,31250.0,84.78,0.0
117,imgnet_cls,swav,31250.0,45.013999999999996,0.0
118,imgnet_cls,swav_task,31250.0,70.464,0.0
119,imgnet_cls,barlow_twins,60000.0,41.61600000000001,0.0
120,imgnet_cls,color,60000.0,66.188,0.0
121,imgnet_cls,jigsaw,60000.0,57.403999999999996,0.0
122,imgnet_cls,moco,60000.0,53.284,0.0
123,imgnet_cls,pirl,60000.0,55.678000000000004,0.0
124,imgnet_cls,scratch,60000.0,68.94,0.0
125,imgnet_cls,simclr,60000.0,44.498000000000005,0.0
126,imgnet_cls,simsiam,60000.0,59.114,0.0
127,imgnet_cls,swav,60000.0,40.254,0.0
128,imgnet_cls,swav_task,60000.0,59.788000000000004,0.0
129,imgnet_cls,color,62500.0,65.99,0.0
130,imgnet_cls,jigsaw,62500.0,56.578,0.0
131,imgnet_cls,moco,62500.0,52.724,0.0
132,imgnet_cls,moco,62500.0,52.922,1.0
133,imgnet_cls,moco,62500.0,52.636,2.0
134,imgnet_cls,scratch,62500.0,68.336,0.0
135,imgnet_cls,scratch,62500.0,69.054,1.0
136,imgnet_cls,scratch,62500.0,68.604,2.0
137,imgnet_cls,swav,62500.0,39.998000000000005,0.0
138,imgnet_cls,swav,62500.0,40.242,1.0
139,imgnet_cls,swav,62500.0,39.62,2.0
140,imgnet_cls,swav_task,62500.0,58.942,0.0
141,imgnet_cls,color,125000.0,53.571999999999996,0.0
142,imgnet_cls,jigsaw,125000.0,46.228,0.0
143,imgnet_cls,moco,125000.0,42.906000000000006,0.0
144,imgnet_cls,moco,125000.0,43.136,1.0
145,imgnet_cls,moco,125000.0,42.964,2.0
146,imgnet_cls,scratch,125000.0,53.70399999999999,0.0
147,imgnet_cls,scratch,125000.0,53.568000000000005,1.0
148,imgnet_cls,scratch,125000.0,52.854,2.0
149,imgnet_cls,swav,125000.0,36.576,0.0
150,imgnet_cls,swav,125000.0,36.571999999999996,1.0
151,imgnet_cls,swav,125000.0,36.361999999999995,2.0
152,imgnet_cls,swav_task,125000.0,47.45,0.0
153,imgnet_cls,scratch_orig,126000.0,43.6,-1.0
154,imgnet_cls,swav_orig,126000.0,29.8,-1.0
155,imgnet_cls,barlow_twins,250000.0,33.716,0.0
156,imgnet_cls,color,250000.0,42.986000000000004,0.0
157,imgnet_cls,jigsaw,250000.0,37.634,0.0
158,imgnet_cls,moco,250000.0,35.688,0.0
159,imgnet_cls,moco,250000.0,35.694,1.0
160,imgnet_cls,moco,250000.0,35.666,2.0
161,imgnet_cls,pirl,250000.0,36.878,0.0
162,imgnet_cls,scratch,250000.0,40.814,0.0
163,imgnet_cls,scratch,250000.0,40.774,1.0
164,imgnet_cls,scratch,250000.0,40.888000000000005,2.0
165,imgnet_cls,simclr,250000.0,34.59,0.0
166,imgnet_cls,simsiam,250000.0,37.436,0.0
167,imgnet_cls,swav,250000.0,33.358000000000004,0.0
168,imgnet_cls,swav,250000.0,33.524,1.0
169,imgnet_cls,swav,250000.0,33.156,2.0
170,imgnet_cls,swav_task,250000.0,38.318000000000005,0.0
171,imgnet_cls,color,500000.0,33.93,0.0
172,imgnet_cls,jigsaw,500000.0,31.011999999999997,0.0
173,imgnet_cls,moco,500000.0,30.166,0.0
